omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.3,bohmian_q,plateau,1.0032907706102438e-06,True,8.249944795704808e-08,1.2680059374062282e-05,1,False,0.5493641322117871,True,True
0.3,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,8.249937008445957e-08,1.2612612106677445e-05,1,False,0.5493653556982362,True,True
0.3,alpha_qg,n/a,1.1921409651983008e-06,True,8.011384314066546e-08,0.007984869157389824,0,False,0.5847054541467983,True,True
0.3,bohmian_q,off,1.1921409651983008e-06,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,1.1921409651983008e-06,True,8.249949889117064e-08,1.479854387701784e-05,1,False,0.5493631543802086,True,True
0.3,bohmian_q,plateau,1.1921409651983008e-06,True,8.249981712000494e-08,1.506550564553062e-05,1,False,0.5493583084080665,True,True
0.3,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,8.249972156965583e-08,1.4985419534263075e-05,1,False,0.5493597622029793,True,True
0.3,alpha_qg,n/a,1.4165385773852007e-06,True,7.968379433659908e-08,0.009487867229639657,0,False,0.591194824044169,True,True
0.3,bohmian_q,off,1.4165385773852007e-06,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
0.3,bohmian_q,gaussian,1.4165385773852007e-06,True,8.249987769799217e-08,1.7582471696498598e-05,1,False,0.5493571465111347,True,True
0.3,bohmian_q,plateau,1.4165385773852007e-06,True,8.250025815012112e-08,1.789941841757603e-05,1,False,0.5493513883301965,True,True
0.3,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,8.250014221775024e-08,1.7804337811623307e-05,1,False,0.5493531157891117,True,True
0.3,alpha_qg,n/a,1.6831747249677917e-06,True,7.91802552681951e-08,1.6309071107051187,0,False,0.598839663150833,True,False
0.3,bohmian_q,off,1.6831747249677917e-06,True,8.249748378916841e-08,0.0,1,False,0.5493950712028609,True,True
