t,a_exact,a_approx_on_exact,a_alt_on_exact,abs_diff_exact_approx,abs_diff_exact_alt,abs_diff_approx_alt,rel_diff_exact_approx,rel_diff_exact_alt,rel_diff_approx_alt
1.0422500000000001,0.51543684145090973,0.50394080182776668,0.51543671912457067,0.011496039623143051,1.2232633905817636e-07,0.011495917296803992,0.022303488417286355,2.373255639116485e-07,0.022303251091722442
1.0425,0.51546568889111821,0.50396385932308796,0.51546553472251211,0.011501829568030253,1.541686061035108e-07,0.011501675399424149,0.022313472682872908,2.9908606804685992e-07,0.022313173596804861
1.0427500000000001,0.51549452360023995,0.50398691681840935,0.51549435032045354,0.011507606781830604,1.7327978640846453e-07,0.011507433502044195,0.02232343168548304,3.3614282688838157e-07,0.022323095542656154
1.0429999999999999,0.51552334558348345,0.50400997431373062,0.51552316591839498,0.011513371269752826,1.7966508847333529e-07,0.011513191604664352,0.022333365439971789,3.4851009175924915e-07,0.022333016929880031
1.04325,0.5155521548460541,0.5040329723215331,0.51555198151633652,0.011519182524520999,1.7332971757877402e-07,0.01151900919480342,0.022343389347214831,3.362021008922572e-07,0.02234305314511394
1.0435000000000001,0.51558095139315441,0.50405597032933558,0.51558079711427796,0.011524981063818829,1.5427887645191873e-07,0.011524826784942377,0.022353388023116615,2.9923308073163012e-07,0.022353088790035881
1.04375,0.51560973522998399,0.50407896833713794,0.51560961271221939,0.011530766892846045,1.2251776460026065e-07,0.011530644375081445,0.022363361482503442,2.3761724465037931e-07,0.022363123865258794
1.044,0.51563850636173947,0.50410196634494042,0.51563842831016082,0.011536540016799046,7.8051578644711128e-08,0.011536461965220401,0.022373309740187856,1.513687936058734e-07,0.022373158371394249
1.0442500000000001,0.51566726479361435,0.50412490493540352,0.51566714230882149,0.011542359858210838,1.2248479286380842e-07,0.011542237373417974,0.022383348035152895,2.3752679533154058e-07,0.022383110508357562
1.0445,0.51569601053079939,0.5041478435258665,0.51569585630748205,0.011548167004932886,1.5422331733905281e-07,0.011548012781615546,0.02239336114515697,2.9905858139238348e-07,0.022393062086575578
1.0447500000000001,0.51572474357848241,0.5041707821163296,0.51572457030614272,0.011553961462152817,1.7327233969854916e-07,0.011553788189813119,0.022403349084984373,3.3597833312448082e-07,0.02240301310665125
