ic_scale,alpha_qg,proxy_primary_l2,proxy_template_maxabs,proxy_template_terminal
1.0008,1.3e-06,0.11179412253658463,0.1676419208149369,0.1676419208149369
1.0009,3e-07,0.02684822080574758,0.04123606043386385,0.04123606043386385
1.0009,5e-07,0.04426650735281678,0.06763321297610048,0.06763321297610048
1.0009,7e-07,0.061334375446865465,0.09325498144480493,0.09325498144480493
1.0009,1e-06,0.08633270194705957,0.1303846631479776,0.1303846631479776
1.0009,1.3e-06,0.11066948258850333,0.16612147611929096,0.16612147611929096
1.001,3e-07,0.02655911602965369,0.04080932734579479,0.04080932734579479
1.001,5e-07,0.04379839414573238,0.06695691444069052,0.06695691444069052
1.001,7e-07,0.060696632938492014,0.09235187681017776,0.09235187681017776
1.001,1e-06,0.08545575467852408,0.12917681353077448,0.12917681353077448
1.001,1.3e-06,0.10956904847010746,0.16464388766432692,0.16464388766432692
1.0011,3e-07,0.02627689891937022,0.04039622093243589,0.04039622093243589
1.0011,5e-07,0.043341132785871074,0.06630148281087256,0.06630148281087256
1.0011,7e-07,0.06007330823542097,0.0914757756255471,0.0914757756255471
1.0011,1e-06,0.08459796818938617,0.12800357763289083,0.12800357763289083
1.0011,1.3e-06,0.10849193472563466,0.16320707038560045,0.16320707038560045
1.0012,3e-07,0.02600128558517323,0.03999600312467322,0.03999600312467322
1.0012,5e-07,0.04289429042183818,0.06566582316212632,0.06566582316212632
1.0012,7e-07,0.059463843167570654,0.09062530044874151,0.09062530044874151
1.0012,1e-06,0.08375862990369574,0.1268632539400658,0.1268632539400658
1.0012,1.3e-06,0.10743730440964597,0.1618090826442068,0.1618090826442068
